ID_1;Q16;genere;age_bin;QH_bin;q2_bin;q3_bin;q9_bin;q8_1;q8_2;q8_3;q8_5;q8_7;q8_8;q8_9;q8_10;QE_bin;q14_5;q14_6;q14_3;q14_4;q7_5;q7_7;q7_10;Level3_CS
905;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
937;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0
940;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0
960;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0
980;1;1;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
986;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
988;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
989;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1;0;1;1;0
991;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
994;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
995;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
996;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;0;1;0
998;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1016;1;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;1;0
1026;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1028;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1029;0;0;0;1;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;1;1;0;1;0
1032;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0
1034;0;0;0;0;0;1;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0
1037;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1041;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1047;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1049;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0
1050;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1053;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1054;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1055;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;1;0
1056;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1060;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1070;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0
1;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
2;1;0;0;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;1;1;1;0
3;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
4;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
41;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
47;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
56;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
57;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
63;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
64;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
65;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
69;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
70;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
71;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
83;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
93;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;1;1;1;0;0;0
94;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0
97;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
102;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
104;1;0;0;1;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;1;1;1;0
106;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
108;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
109;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
112;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
117;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
118;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
121;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
122;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;0
672;0;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
680;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
688;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;1;0
690;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
691;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
693;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
696;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
701;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0
702;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
703;1;1;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0
706;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
708;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0
713;0;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
715;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
716;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
718;0;0;0;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0
719;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0
722;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
724;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;1;1;0
736;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
737;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0
738;0;0;1;0;0;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;0
739;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
743;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
747;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
748;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
754;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
760;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
761;0;1;0;0;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0
766;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
768;1;1;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;0
769;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
770;1;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
771;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
772;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
778;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
780;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;0
783;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
784;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
787;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
788;0;0;0;0;0;0;0;1;0;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0
791;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
792;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;1;0
799;0;0;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;1;0
803;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
805;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
808;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
810;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0
815;1;1;1;0;0;0;1;1;1;1;0;1;0;1;0;0;1;0;1;1;1;1;1;0
816;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
817;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
824;1;1;0;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;1;1;1;1;0;0
827;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0
830;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
832;1;0;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
840;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
841;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
842;0;0;1;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;1;1;1;1;0
847;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0
851;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
853;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
863;1;1;0;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
864;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
865;1;0;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0
866;0;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
870;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
872;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0
882;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
883;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0
884;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;1;1;1;1;0;0
886;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
887;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0
889;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
891;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
893;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
894;1;0;1;0;1;0;0;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0
895;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
896;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0
898;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0
902;0;0;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0
904;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
911;0;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0
912;0;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
913;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
914;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0
917;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
922;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
927;1;1;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
929;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
930;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;0;1;1;1;1;0;0
931;0;1;1;1;0;0;0;1;1;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0
938;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
949;1;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0
950;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
956;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;1;1;1;1;0
961;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0
962;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0
967;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0
969;1;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0
970;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
973;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
974;1;1;1;1;0;0;0;0;1;1;0;1;0;1;1;0;1;0;1;1;1;1;1;0
975;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
977;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
979;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;0
981;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
985;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
987;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0
990;0;0;0;0;0;1;0;1;0;1;1;1;0;0;0;1;1;1;0;0;0;1;1;0
1001;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1005;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1008;1;0;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0
1010;0;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0;0;1;0;0
1012;1;0;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;1;0
1014;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
1018;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
1019;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
1020;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0
1021;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1024;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0
1042;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
1052;0;1;0;0;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0
1058;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0
1059;1;1;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
37;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
40;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;1;1;1;0
58;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
66;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
68;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;0
72;0;0;1;0;0;1;0;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0
75;1;0;1;0;1;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;1;1;1;0
77;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
79;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0
90;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0
95;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
98;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;0;0
100;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0
111;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
115;0;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0
120;1;0;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;1;0
684;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
685;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
699;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0
704;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
709;0;0;1;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0
710;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0
714;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;0
721;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0
